Nro,PRODUCTO,RUBRO,ANHO,MES,PRECIO
327,Leche UHT - 1lt,Marca mas económica,2007,NOVIEMBRE,3723
328,Leche UHT - 1lt,Marca mas económica,2007,DICIEMBRE,3811
329,Leche UHT - 1/2 lt,Marca mas económica,2007,MAYO,1638
330,Leche UHT - 1/2 lt,Marca mas económica,2007,JUNIO,1647
331,Leche UHT - 1/2 lt,Marca mas económica,2007,JULIO,1730
332,Leche UHT - 1/2 lt,Marca mas económica,2007,AGOSTO,1843
333,Leche UHT - 1/2 lt,Marca mas económica,2007,SETIEMBRE,1817
334,Leche UHT - 1/2 lt,Marca mas económica,2007,OCTUBRE,1830
335,Leche UHT - 1/2 lt,Marca mas económica,2007,NOVIEMBRE,1978
336,Leche UHT - 1/2 lt,Marca mas económica,2007,DICIEMBRE,2050
337,Yogurt - 350 gr,Marca mas económica,2007,MAYO,2015
338,Yogurt - 350 gr,Marca mas económica,2007,JUNIO,2017
339,Yogurt - 350 gr,Marca mas económica,2007,JULIO,2072
340,Yogurt - 350 gr,Marca mas económica,2007,AGOSTO,2126
341,Yogurt - 350 gr,Marca mas económica,2007,SETIEMBRE,2197
342,Yogurt - 350 gr,Marca mas económica,2007,OCTUBRE,2202
343,Yogurt - 350 gr,Marca mas económica,2007,NOVIEMBRE,2229
344,Yogurt - 350 gr,Marca mas económica,2007,DICIEMBRE,2252
345,Huevos de gallina - 1/2 doc.,Marca mas económica,2007,MAYO,2886
346,Huevos de gallina - 1/2 doc.,Marca mas económica,2007,JUNIO,2835
347,Huevos de gallina - 1/2 doc.,Marca mas económica,2007,JULIO,2850
348,Huevos de gallina - 1/2 doc.,Marca mas económica,2007,AGOSTO,2838
349,Huevos de gallina - 1/2 doc.,Marca mas económica,2007,SETIEMBRE,2858
350,Huevos de gallina - 1/2 doc.,Marca mas económica,2007,OCTUBRE,2794
351,Huevos de gallina - 1/2 doc.,Marca mas económica,2007,NOVIEMBRE,2677
352,Huevos de gallina - 1/2 doc.,Marca mas económica,2007,DICIEMBRE,2648
353,"Fruta, hortaliza - 1kg",Naranja,2007,MAYO,2242
354,"Fruta, hortaliza - 1kg",Naranja,2007,JUNIO,1807
355,"Fruta, hortaliza - 1kg",Naranja,2007,JULIO,1798
356,"Fruta, hortaliza - 1kg",Naranja,2007,AGOSTO,1677
357,"Fruta, hortaliza - 1kg",Naranja,2007,SETIEMBRE,1609
358,"Fruta, hortaliza - 1kg",Naranja,2007,OCTUBRE,1819
359,"Fruta, hortaliza - 1kg",Naranja,2007,NOVIEMBRE,1866
360,"Fruta, hortaliza - 1kg",Naranja,2007,DICIEMBRE,1894
361,"Fruta, hortaliza - 1kg",Banana carape,2007,MAYO,1059
362,"Fruta, hortaliza - 1kg",Banana carape,2007,JUNIO,905
363,"Fruta, hortaliza - 1kg",Banana carape,2007,JULIO,1007
364,"Fruta, hortaliza - 1kg",Banana carape,2007,AGOSTO,1189
365,"Fruta, hortaliza - 1kg",Banana carape,2007,SETIEMBRE,1493
366,"Fruta, hortaliza - 1kg",Banana carape,2007,OCTUBRE,1780
367,"Fruta, hortaliza - 1kg",Banana carape,2007,NOVIEMBRE,2322
368,"Fruta, hortaliza - 1kg",Banana carape,2007,DICIEMBRE,3014
369,"Fruta, hortaliza - 1kg",Lechuga - 1 maso,2007,MAYO,1429
370,"Fruta, hortaliza - 1kg",Lechuga - 1 maso,2007,JUNIO,1155
371,"Fruta, hortaliza - 1kg",Lechuga - 1 maso,2007,JULIO,628
372,"Fruta, hortaliza - 1kg",Lechuga - 1 maso,2007,AGOSTO,881
373,"Fruta, hortaliza - 1kg",Lechuga - 1 maso,2007,SETIEMBRE,593
374,"Fruta, hortaliza - 1kg",Lechuga - 1 maso,2007,OCTUBRE,578
375,"Fruta, hortaliza - 1kg",Lechuga - 1 maso,2007,NOVIEMBRE,1203
376,"Fruta, hortaliza - 1kg",Lechuga - 1 maso,2007,DICIEMBRE,885
377,"Fruta, hortaliza - 1kg",Locote,2007,MAYO,4696
378,"Fruta, hortaliza - 1kg",Locote,2007,JUNIO,5847
379,"Fruta, hortaliza - 1kg",Locote,2007,JULIO,4219
380,"Fruta, hortaliza - 1kg",Locote,2007,AGOSTO,4033
381,"Fruta, hortaliza - 1kg",Locote,2007,SETIEMBRE,5010
382,"Fruta, hortaliza - 1kg",Locote,2007,OCTUBRE,4480
383,"Fruta, hortaliza - 1kg",Locote,2007,NOVIEMBRE,3746
384,"Fruta, hortaliza - 1kg",Locote,2007,DICIEMBRE,3806
385,"Fruta, hortaliza - 1kg",Zanahoria,2007,MAYO,3171
386,"Fruta, hortaliza - 1kg",Zanahoria,2007,JUNIO,2680
387,"Fruta, hortaliza - 1kg",Zanahoria,2007,JULIO,2064
