Nº,PRODUCTO,RUBRO,ANHO,MES,PRECIO
331,Carne bovina - 1kg,Bola de Lomo,2009,JUNIO,21291
332,Carne bovina - 1kg,Bola de Lomo,2009,JULIO,22271
333,Carne bovina - 1kg,Bola de Lomo,2009,AGOSTO,23272
334,Carne bovina - 1kg,Bola de Lomo,2009,SETIEMBRE,23233
335,Carne bovina - 1kg,Bola de Lomo,2009,OCTUBRE,23947
336,Carne bovina - 1kg,Bola de Lomo,2009,NOVIEMBE,24203
337,Carne bovina - 1kg,Bola de Lomo,2009,DICIEMBRE,24084
338,Carne bovina - 1kg,Bola de Lomo,2009,PROMEDIO,22171
339,Carne bovina - 1kg,Palomita,2009,ENERO,s/d
340,Carne bovina - 1kg,Palomita,2009,FEBRERO,25242
341,Carne bovina - 1kg,Palomita,2009,MARZO,24129
342,Carne bovina - 1kg,Palomita,2009,ABRIL,23291
343,Carne bovina - 1kg,Palomita,2009,MAYO,22730
344,Carne bovina - 1kg,Palomita,2009,JUNIO,23194
345,Carne bovina - 1kg,Palomita,2009,JULIO,23151
346,Carne bovina - 1kg,Palomita,2009,AGOSTO,24499
347,Carne bovina - 1kg,Palomita,2009,SETIEMBRE,24708
348,Carne bovina - 1kg,Palomita,2009,OCTUBRE,25434
349,Carne bovina - 1kg,Palomita,2009,NOVIEMBE,25579
350,Carne bovina - 1kg,Palomita,2009,DICIEMBRE,26011
351,Carne bovina - 1kg,Palomita,2009,PROMEDIO,24361
352,Carne bovina - 1kg,Muchachito,2009,ENERO,s/d
353,Carne bovina - 1kg,Muchachito,2009,FEBRERO,20060
354,Carne bovina - 1kg,Muchachito,2009,MARZO,19173
355,Carne bovina - 1kg,Muchachito,2009,ABRIL,18731
356,Carne bovina - 1kg,Muchachito,2009,MAYO,18303
357,Carne bovina - 1kg,Muchachito,2009,JUNIO,18599
358,Carne bovina - 1kg,Muchachito,2009,JULIO,19275
359,Carne bovina - 1kg,Muchachito,2009,AGOSTO,20091
360,Carne bovina - 1kg,Muchachito,2009,SETIEMBRE,20279
361,Carne bovina - 1kg,Muchachito,2009,OCTUBRE,20176
362,Carne bovina - 1kg,Muchachito,2009,NOVIEMBE,20698
363,Carne bovina - 1kg,Muchachito,2009,DICIEMBRE,20591
364,Carne bovina - 1kg,Muchachito,2009,PROMEDIO,19634
365,Carne bovina - 1kg,Paleta,2009,ENERO,s/d
366,Carne bovina - 1kg,Paleta,2009,FEBRERO,18385
367,Carne bovina - 1kg,Paleta,2009,MARZO,18352
368,Carne bovina - 1kg,Paleta,2009,ABRIL,18148
369,Carne bovina - 1kg,Paleta,2009,MAYO,17874
370,Carne bovina - 1kg,Paleta,2009,JUNIO,18189
371,Carne bovina - 1kg,Paleta,2009,JULIO,18886
372,Carne bovina - 1kg,Paleta,2009,AGOSTO,19740
373,Carne bovina - 1kg,Paleta,2009,SETIEMBRE,19030
374,Carne bovina - 1kg,Paleta,2009,OCTUBRE,19749
375,Carne bovina - 1kg,Paleta,2009,NOVIEMBE,20364
376,Carne bovina - 1kg,Paleta,2009,DICIEMBRE,20285
377,Carne bovina - 1kg,Paleta,2009,PROMEDIO,19000
378,Carne bovina - 1kg,Sambari,2009,ENERO,s/d
379,Carne bovina - 1kg,Sambari,2009,FEBRERO,15435
380,Carne bovina - 1kg,Sambari,2009,MARZO,14835
381,Carne bovina - 1kg,Sambari,2009,ABRIL,14560
382,Carne bovina - 1kg,Sambari,2009,MAYO,14092
383,Carne bovina - 1kg,Sambari,2009,JUNIO,14865
384,Carne bovina - 1kg,Sambari,2009,JULIO,15581
385,Carne bovina - 1kg,Sambari,2009,AGOSTO,16032
386,Carne bovina - 1kg,Sambari,2009,SETIEMBRE,16290
387,Carne bovina - 1kg,Sambari,2009,OCTUBRE,16575
388,Carne bovina - 1kg,Sambari,2009,NOVIEMBE,16718
389,Carne bovina - 1kg,Sambari,2009,DICIEMBRE,16615
390,Carne bovina - 1kg,Sambari,2009,PROMEDIO,15600
391,Carne bovina - 1kg,Matambre,2009,ENERO,s/d
392,Carne bovina - 1kg,Matambre,2009,FEBRERO,12332
393,Carne bovina - 1kg,Matambre,2009,MARZO,11530
394,Carne bovina - 1kg,Matambre,2009,ABRIL,11167
395,Carne bovina - 1kg,Matambre,2009,MAYO,10934
396,Carne bovina - 1kg,Matambre,2009,JUNIO,11876
397,Carne bovina - 1kg,Matambre,2009,JULIO,12624
398,Carne bovina - 1kg,Matambre,2009,AGOSTO,12671
399,Carne bovina - 1kg,Matambre,2009,SETIEMBRE,12837
400,Carne bovina - 1kg,Matambre,2009,OCTUBRE,12628
401,Carne bovina - 1kg,Matambre,2009,NOVIEMBE,12767
402,Carne bovina - 1kg,Matambre,2009,DICIEMBRE,13328
403,Carne bovina - 1kg,Matambre,2009,PROMEDIO,12245
404,Carne bovina - 1kg,Tapa de Asado,2009,ENERO,s/d
405,Carne bovina - 1kg,Tapa de Asado,2009,FEBRERO,16499
406,Carne bovina - 1kg,Tapa de Asado,2009,MARZO,15490
407,Carne bovina - 1kg,Tapa de Asado,2009,ABRIL,15682
408,Carne bovina - 1kg,Tapa de Asado,2009,MAYO,15075
409,Carne bovina - 1kg,Tapa de Asado,2009,JUNIO,14606
410,Carne bovina - 1kg,Tapa de Asado,2009,JULIO,15446
411,Carne bovina - 1kg,Tapa de Asado,2009,AGOSTO,15279
412,Carne bovina - 1kg,Tapa de Asado,2009,SETIEMBRE,15232
413,Carne bovina - 1kg,Tapa de Asado,2009,OCTUBRE,15591
414,Carne bovina - 1kg,Tapa de Asado,2009,NOVIEMBE,15069
415,Carne bovina - 1kg,Tapa de Asado,2009,DICIEMBRE,15152
416,Carne bovina - 1kg,Tapa de Asado,2009,PROMEDIO,15375
417,Carne bovina - 1kg,Espinazo Negro,2009,ENERO,s/d
418,Carne bovina - 1kg,Espinazo Negro,2009,FEBRERO,8471
419,Carne bovina - 1kg,Espinazo Negro,2009,MARZO,6632
420,Carne bovina - 1kg,Espinazo Negro,2009,ABRIL,6707
421,Carne bovina - 1kg,Espinazo Negro,2009,MAYO,6714
422,Carne bovina - 1kg,Espinazo Negro,2009,JUNIO,7653
423,Carne bovina - 1kg,Espinazo Negro,2009,JULIO,7603
424,Carne bovina - 1kg,Espinazo Negro,2009,AGOSTO,8184
425,Carne bovina - 1kg,Espinazo Negro,2009,SETIEMBRE,8530
426,Carne bovina - 1kg,Espinazo Negro,2009,OCTUBRE,8411
427,Carne bovina - 1kg,Espinazo Negro,2009,NOVIEMBE,8227
